Owner_id;id;High_value;Low_value;class_Description;sensor_Description
3;249167;25455;3394;Haagse Hogeschool Delft;MeasAirflow Haagse Hogeschool Delft
132;9829;152;20;OG014B ODK 2.113;Actual Air Flow OG014B
581;36752;75;10;OG045C ODK 2.027;Actual Air Flow OG045C
592;37458;1148;153;OG0134 VAV10 2e verd;Actual Air Flow OG0134
624;38988;57;7;OG044F ODK 2.111;Actual Air Flow OG044F
650;40229;513;68;OG042A ODK 2.052;Actual Air Flow OG042A
672;41407;180;24;OG0450 ODK 2.051;Actual Air Flow OG0450
685;42140;292;38;OG0181 ODK 2.001;Actual Air Flow OG0181
695;42726;22;3;OG017D ODK 2.083;Actual Air Flow OG017D
736;44769;53;7;OG047E ODK 2.024;Actual Air Flow OG047E
796;48184;53;7;OG0471 ODK 2.107;Actual Air Flow OG0471
830;50022;71;9;OG013A ODK 2.081;Actual Air Flow OG013A
848;50642;18;2;OG0182 ODK 2.014;Actual Air Flow OG0182
865;51244;74;9;OG0455 ODK 2.012;Actual Air Flow OG0455
869;51378;125;16;OG0422 ODK 2.045;Actual Air Flow OG0422
884;51947;317;42;OG0152 ODK 2.101;Actual Air Flow OG0152
895;52314;97;13;OG0445 ODK 2.084;Actual Air Flow OG0445
898;52415;23;3;OG0449 ODK 2.055;Actual Air Flow OG0449
901;52512;169;22;OG0474 ODK 2.021;Actual Air Flow OG0474
904;52613;43;5;OG0477 ODK 2.082;Actual Air Flow OG0477
908;52749;17;2;OG0460 ODK 2.016;Actual Air Flow OG0460
910;52819;27;3;OG014C ODK 2.094;Actual Air Flow OG014C
921;53191;134;17;OG014F ODK 2.015;Actual Air Flow OG014F
925;53323;187;25;OG0169 ODK 2.031;Actual Air Flow OG0169
927;53389;134;17;OG0462 ODK 2.067;Actual Air Flow OG0462
930;53494;147;19;OG0140 ODK 2.041;Actual Air Flow OG0140
934;53634;69;9;OG046E ODK 2.093;Actual Air Flow OG046E
937;53735;526;70;OG0156 ODK 2.072;Actual Air Flow OG0156
939;53805;0;0;OG018A ODK 2.088;Actual Air Flow OG018A
943;53937;186;24;OG0143 ODK 2.035;Actual Air Flow OG0143
953;54267;41;5;OG0457 ODK 2.006;Actual Air Flow OG0457
954;54302;52;7;OG044C ODK 2.087;Actual Air Flow OG044C
957;54403;73;9;OG0417 ODK 2.079;Actual Air Flow OG0417
961;54535;118;15;OG0463 ODK 2.069;Actual Air Flow OG0463
964;54632;50;6;OG013E ODK 2.076;Actual Air Flow OG013E
968;54768;306;40;OG0448 ODK 2.003;Actual Air Flow OG0448
971;54873;369;49;OG0122 ODK 2.117;Actual Air Flow OG0122
973;54939;79;10;OG0441 ODK 2.011;Actual Air Flow OG0441
976;55044;68;9;OG0175 ODK 2.097;Actual Air Flow OG0175
985;55339;32;4;OG0480 ODK 2.008;Actual Air Flow OG0480
992;55574;305;40;OG043C ODK 2.007;Actual Air Flow OG043C
996;55710;108;14;OG046A ODK 2.073;Actual Air Flow OG046A
1003;55941;38;5;OG015D ODK 2.022;Actual Air Flow OG015D
1008;56110;47;6;OG014D ODK 2.018;Actual Air Flow OG014D
1246;69198;188;25;OG0461 ODK 2.124;Actual Air Flow OG0461
1250;69330;227;30;OG0429 ODK 2.122;Actual Air Flow OG0429
1251;69365;25;3;OG0172 ODK 2.132;Actual Air Flow OG0172
1255;69501;0;0;OG041E ODK 2.134;Actual Air Flow OG041E
1339;361304;;;  Kelder;MeasAirflow Kelder
1340;361330;10281;1370; Begane grond;MeasAirflow Begane grond
